imei	username	mail	user_id	ssn	registration	name	job	birthdate	company	address	current_location
359043379931766213	paulgabriella	heather70@hotmail.com	570	885-48-0431	2019/09/03	Kristina Boyd	Forensic psychologist	1915-04-18	Mckee PLC	"4410 Danielle Street Apt. 501
South Nathan, OH 75711"	(Decimal('22.177060'), Decimal('-47.715768'))
8630330696303481834	sharismith	bshaw@yahoo.com	2146	739-08-4059	2023/04/27	Adam Kim		1991-08-15	Nelson-Harrington		(Decimal('-19.9112025'), Decimal('-52.488674'))
359043379931766650	romanpaul	williamfields@yahoo.com	2243	684-23-6382	08 Apr 2019	Karen Shepard	Nurse, children's	1929-07-18	Adams-Wheeler	"687 Matthew Ville Suite 573
Lake Ryanmouth, PR 34632"	(Decimal('12.157425'), Decimal('-26.376943'))
3590433799317661099	raymond80	christopher37@gmail.com	2418	528-91-2355	2017-09-23	Sharon Finley			Lopez-Deleon	"856 Gina Summit
Raymondburgh, SC 79531"	(Decimal('2.528413'), Decimal('-81.300591'))
8630330696303481818	owilkerson	weavermarcus@gmail.com	2326	440-25-9478	16 Oct 2021	Kristen Miller	Conservator, furniture	1937-02-23	Robinson-Morris	"USS Good
FPO AP 55460"	(Decimal('86.0485015'), Decimal('144.605802'))
3590433799317662089	jessicatorres	avasquez@hotmail.com	463	789-45-3293	2024/05/23	Amanda Bailey		2010-04-02	Ingram Ltd	"75677 Amanda Mountains Suite 034
Arnoldshire, VA 21567"	(Decimal('-37.8888415'), Decimal('179.137432'))
8630330696303482444	vbartlett	teresa68@yahoo.com	1122	089-24-1531	07/28/2023, 00:00:00	Craig Arroyo		1912-09-17	Griffin, Collins and Taylor	"4990 Robin Court Apt. 713
Ramirezside, PW 02499"	(Decimal('-12.8527365'), Decimal('-34.215134'))
8630330696303481230	qingram	tomwoods@yahoo.com	1491	860-68-0306	2020-06-12	Madison Turner			Maddox, Herrera and Smith	"24730 Nicholas Place Apt. 273
Meyerside, MO 14611"	(Decimal('25.5441235'), Decimal('-75.607160'))
8630330696303481321	fordwilliam	brittanymiller@hotmail.com	1919	466-85-2698	2019/10/16	Eric Waller		2019-03-30	Dorsey-Murphy	"789 Kathy Square
West William, IA 50458"	(Decimal('-82.733164'), Decimal('66.874864'))
8630330696303481198	mary92	jessica48@yahoo.com	1045	293-10-3884	05/17/2019, 00:00:00	Lori Park			Richmond and Sons	"5637 Colleen Prairie
Lyonsmouth, IN 39598"	(Decimal('-45.662606'), Decimal('147.307835'))
359043379931766759	snydercrystal	monique37@hotmail.com	2325	188-87-1888	02 Feb 2023	Tara Chambers			Curtis, Hayes and Ellis	"579 Lawson Avenue Suite 139
South Eddie, AL 90287"	(Decimal('-84.118310'), Decimal('171.906081'))
863033069630348362	awhitehead	awalton@hotmail.com	1630	327-62-1612	08/29/2022, 00:00:00	Mrs. Heather Zuniga MD	Lobbyist		Griffith LLC	"6537 Chad Ford Apt. 055
New Jasonstad, LA 67302"	(Decimal('-11.5177055'), Decimal('90.182550'))
8630330696303481255	rosschristopher	lisa74@yahoo.com	617	570-44-9322	2022-06-23	Lisa Floyd		1979-04-23	Crawford, Carpenter and Garza	"204 Tracy Lights Suite 326
New Morganmouth, MA 94874"	(Decimal('-76.6377645'), Decimal('-149.544469'))
359043379931766296	jacksondeborah	kentkaren@yahoo.com	1252	669-89-4277	02/20/2021, 00:00:00	Jennifer Ellis	Financial risk analyst		Frank-Herrera	"2133 Hayes Ports Apt. 942
Evansbury, NV 85210"	(Decimal('-6.9071585'), Decimal('-77.517200'))
863033069630348057	cmiller	amaldonado@gmail.com	1135	836-99-0909	2022-03-24	Jesse Montgomery	Technical brewer	1910-09-05	Vargas, Woods and Patel	"876 Luna Tunnel Suite 709
Whitebury, PW 91002"	(Decimal('-86.2228975'), Decimal('59.933952'))
8630330696303481123	amywilliams	evaneaton@hotmail.com	1399	581-21-2092	11/16/2022, 00:00:00	Jessica Santos	Horticultural therapist	1920-04-21	Levine LLC	"Unit 8168 Box 0381
DPO AP 08055"	(Decimal('68.215936'), Decimal('157.880529'))
359043379931766437	xsanchez	richtiffany@gmail.com	1778	389-24-0613	12 Feb 2024	Scott Benjamin	Landscape architect		Williams-Reynolds	"288 Martha Trail
Greenborough, TN 41828"	(Decimal('-44.750688'), Decimal('-33.557528'))
3590433799317662451	richard64	austin86@hotmail.com	1361	866-55-3166	2019/12/27	Jordan Mccoy			Galloway, Cardenas and Gonzalez	"0084 Morse Shore Apt. 628
Riveraland, OR 04783"	
3590433799317661974	fredericksummers	jameswarner@yahoo.com	2004	246-37-6061	12/22/2018, 00:00:00	Heather Oliver		2006-10-06	Martinez, Morgan and Payne	"454 Austin Manor
Garciafurt, OR 15853"	(Decimal('-44.082642'), Decimal('-148.332390'))
359043379931766817	karenbryan	jamieruiz@hotmail.com	2347	144-10-8933	2022/09/23	Wanda Gutierrez	Research officer, government	2016-05-30	Pierce, Campbell and Garrett	"5038 Garcia Courts
Shelbymouth, UT 64874"	(Decimal('40.6236585'), Decimal('56.632251'))
863033069630348420	brucecarroll	stephaniejones@hotmail.com	1512	237-07-3616	2020/05/10	Heather Cox	Toxicologist	1919-06-16	Ochoa Ltd	"0958 Nancy Stravenue
Jenniferside, DE 02310"	(Decimal('-26.9994465'), Decimal('-102.164358'))
3590433799317662253	crystal85	kevin19@yahoo.com	563	867-61-6106	2020-11-19	Lee Hester	Psychologist, educational		Ruiz, Gonzales and Thompson	"146 Cruz Meadows
Darrellbury, KY 19595"	
359043379931766783	jmartinez	janicesmith@gmail.com	1680	021-44-2480	2018-09-26	Derek Thomas		1931-01-01	Yoder-Taylor	"99994 Hunt Ford
Williamsburgh, IL 99875"	(Decimal('42.5491895'), Decimal('-169.944567'))
3590433799317662402	kherrera	dmoore@gmail.com	2431	005-54-3615	01/12/2018, 00:00:00	Melissa Mcguire	Camera operator		Thomas Inc	"89599 Simmons Glens Apt. 114
West Amanda, RI 74446"	(Decimal('27.277189'), Decimal('169.588038'))
8630330696303481032	ijones	leeallen@gmail.com	2365	137-36-2538	2017/12/25	Mr. Jeffery Harris			Turner Ltd	"628 Salazar Radial Apt. 222
Dustinville, ME 53941"	
3590433799317662113	michelle54	tfisher@hotmail.com	1255	750-90-8256	10 Jun 2020	Jeff Johnson	Tax adviser		Bass LLC	"6328 Elizabeth Knolls Apt. 274
Huberton, IL 35844"	(Decimal('-24.781635'), Decimal('159.197411'))
359043379931766106	bshaw	michael04@yahoo.com	287	497-89-0278	2024/02/04	Kendra Delacruz			Mcdaniel Ltd	"051 Rivera Throughway Suite 770
North Jacob, CA 44981"	
863033069630348537	alyssa19	danielle69@gmail.com	424	875-68-9739	2019-05-28	Andrea Smith		2011-04-19	Harris and Sons	"6239 Sonya Overpass
Johnberg, DE 85943"	(Decimal('-71.290815'), Decimal('63.054568'))
863033069630348826	jeffreyblevins	monica56@hotmail.com	630	598-35-4348	2019-01-04	Stephen Moreno		1941-12-07	Morales, Johnson and Mclaughlin		(Decimal('-56.6927975'), Decimal('-155.908232'))
359043379931766718	brendapadilla	marygreen@gmail.com	10	743-65-6923	08/09/2023, 00:00:00	Scott King			Rodriguez and Sons	"USS Diaz
FPO AP 14664"	(Decimal('3.0334685'), Decimal('1.504870'))
359043379931766205	megan52	gonzaleslisa@hotmail.com	1306	890-61-4871	05/01/2024, 00:00:00	Carrie Mueller	Advertising art director	1975-08-03	Foster-Glass	"180 Thomas Overpass
Johnton, WI 94084"	(Decimal('72.094930'), Decimal('176.988353'))
3590433799317661792	wadams	wallacekenneth@yahoo.com	1335	205-86-8287	14 Jun 2024	Kevin Williams		1967-06-03	Guerra, Terry and Flores	"721 Jessica Knolls
Port Craig, SD 57567"	(Decimal('-81.1483805'), Decimal('-90.285525'))
3590433799317662287	medinamichelle	kgonzalez@hotmail.com	1957	452-78-0411	2022-02-20	Andrew Reyes		1950-02-15	Cohen, Barr and Morgan		(Decimal('-4.7378895'), Decimal('133.689001'))
359043379931766858	juan60	dillon39@hotmail.com	618	798-60-7948	03/28/2022, 00:00:00	Dr. Emma Sampson	Tree surgeon	1920-11-11	Diaz, Hendricks and Medina	"74870 Gomez Hollow Apt. 302
New Carolynchester, MP 12068"	(Decimal('13.6292815'), Decimal('39.331624'))
8630330696303481321	ukennedy	sanchezdavid@hotmail.com	2405	436-67-7614	2018-01-19	Paige Holt			Petersen and Sons	"3857 Sarah Locks
New Paulland, OK 91230"	(Decimal('-22.340366'), Decimal('-124.962667'))
8630330696303481768	ywilliams	dixonrachel@yahoo.com	1307	796-27-3302	05/18/2022, 00:00:00	Tara Gonzalez	Child psychotherapist		Davis and Sons	"1671 David Spur
Matthewfurt, KS 91055"	(Decimal('57.506238'), Decimal('-179.024930'))
8630330696303482378	stephanie67	wallsfelicia@yahoo.com	1800	346-16-1462	2019/04/13	Joshua Rodgers	IT consultant		Davies-Johnson	"USNS Powell
FPO AP 84786"	(Decimal('83.6066695'), Decimal('51.292413'))
3590433799317662014	davidallen	michaelbrooks@hotmail.com	97	340-41-6161	2020-03-25	David Ellis		1935-07-05	Taylor, Phillips and Smith	"8750 Thomas Mission Apt. 301
East Elizabeth, NV 43676"	
3590433799317661446	dburke	bwagner@gmail.com	2407	847-75-3777	15 Aug 2019	Travis Salas II	Heritage manager	2001-01-10	Cortez-Sosa		(Decimal('86.979429'), Decimal('-35.870093'))
863033069630348529	kennethcase	karmstrong@hotmail.com	2423	485-16-0922	2018-05-28	Linda Richardson	Academic librarian	2001-07-25	Martinez, Morales and Scott	"12435 Alison Cape Suite 765
New Christopher, ND 73378"	(Decimal('-48.9233245'), Decimal('44.272680'))
3590433799317662113	oleon	joshua94@gmail.com	2082	363-17-2356	2018/04/15	Laura Garrison			Montes, Cooley and Harvey	"USNS Campbell
FPO AE 82176"	(Decimal('61.029480'), Decimal('-4.750924'))
8630330696303481750	lmedina	zchapman@hotmail.com	325	430-73-5040	2024/06/01	Kristine Marsh			Stafford, Fisher and Farmer	"8812 Villanueva Junctions Apt. 718
Dennisport, MO 68541"	(Decimal('-57.8419415'), Decimal('-178.433173'))
8630330696303482089	ryancatherine	snydercynthia@hotmail.com	2237	820-45-8853	07 Mar 2018	Danielle Cohen		1999-03-16	Young, Patel and Henderson	"USNS Farley
FPO AP 17169"	(Decimal('86.261288'), Decimal('-116.809721'))
3590433799317662360	susanrussell	marco35@gmail.com	224	054-93-2046	09 Jun 2023	Ashley Torres	Orthoptist		Weaver, Walker and Kelley	"04845 Cynthia Lights
Robinmouth, NC 62211"	
359043379931766791	richardsmith	ronalddavis@yahoo.com	1176	116-77-8181	2024/02/22	Christine Tran	Camera operator		Gentry Inc	"1984 Moore Street
East Dominique, ND 10034"	(Decimal('-27.869291'), Decimal('137.269615'))
3590433799317662089	lisascott	xnguyen@hotmail.com	2450	470-02-5972	2021-12-03	Christopher Hobbs			Luna Group	"015 Martin Cliffs
West Troyberg, AL 98741"	(Decimal('-15.3093655'), Decimal('-96.158952'))
3590433799317662386	colleen90	bonillasabrina@hotmail.com	2024	116-69-9324	2021-07-03	Candace Jackson	Merchant navy officer		Gordon, Anderson and Moreno	"6917 Joseph Underpass Apt. 356
Jonfurt, SC 43112"	(Decimal('-2.7724165'), Decimal('-130.299543'))
3590433799317662345	leekenneth	igilbert@gmail.com	1159	607-80-9461	2020/05/18	Wayne Dorsey	Television production assistant	1968-09-02	Ramirez, Moreno and Vaughan	"40121 Lopez Cliffs
Mcconnellhaven, VI 81528"	(Decimal('13.767075'), Decimal('-20.688315'))
8630330696303481503	angelasmith	amandawebb@gmail.com	2062	703-16-7520	24 Jan 2022	Christopher Gregory		1979-07-29	Hernandez-Olsen	"083 Christopher Cliffs
North Laurenmouth, MA 24504"	(Decimal('66.3302425'), Decimal('-133.843172'))
8630330696303482436	benjamin36	taylor54@gmail.com	2106	780-73-0949	11 Jun 2023	Joseph Rodriguez		2005-10-05	Jensen and Sons	"1175 Julie Keys Apt. 842
Mikeburgh, VT 64872"	(Decimal('-82.6406675'), Decimal('56.852339'))
3590433799317662048	pauljordan	claytontorres@hotmail.com	1569	385-98-2511	2020-12-08	Bonnie Vaughn	Records manager	1938-11-24	Griffin-Mason		
359043379931766130	jordanchristopher	clarkjustin@yahoo.com	969	507-11-3457	01/28/2022, 00:00:00	Steven Gallagher		2015-12-23	Duncan-Griffith	"742 Henderson Manor
East Anthony, MI 20193"	(Decimal('38.044406'), Decimal('5.121911'))
359043379931766387	joseph70	briandavis@hotmail.com	2236	879-57-8779	2023-10-01	Alexandria Reyes	Outdoor activities/education manager		Weiss-Buckley	"66089 Patel Stravenue
New Curtis, FM 87373"	(Decimal('-14.089006'), Decimal('16.374303'))
359043379931766064	katelynbryant	mark70@gmail.com	303	289-83-1095	2023-08-22	Joseph Martinez		1996-01-21	Griffin, Howard and Marshall	"79354 Austin Keys Suite 404
Lake Jamesbury, WV 49842"	(Decimal('-76.888631'), Decimal('-26.848584'))
863033069630348610	sharpann	jonlee@gmail.com	2362	503-85-1643	23 Nov 2021	Charles Garcia		1938-05-11	Adams and Sons	"USNS Johns
FPO AP 78001"	(Decimal('26.6147195'), Decimal('-43.588405'))
359043379931766122	hamiltonjames	alexander25@gmail.com	660	210-96-2994	04/28/2022, 00:00:00	Amanda Maynard		1951-06-16	Shepherd Ltd	"USNV Hall
FPO AP 39590"	(Decimal('-7.791120'), Decimal('79.943006'))
3590433799317661966	bateskeith	rachel99@yahoo.com	2363	635-63-5255	2018/11/24	David Mitchell		1965-03-23	Mccoy Inc	"5394 Cook Pike Suite 674
Port Hollymouth, WV 61056"	(Decimal('81.666595'), Decimal('87.193776'))
863033069630348057	monica00	nicholasturner@hotmail.com	2324	789-55-6932	2018/07/27	Molly Bryant			Williams-Marquez	"35014 Melissa Flats Suite 663
Jenniferview, OK 97617"	(Decimal('-67.0836825'), Decimal('-179.741853'))
3590433799317662105	nsmith	wprice@gmail.com	1923	634-25-9532	2019-04-23	Jennifer Dixon		1975-03-20	Herrera-Lewis	"994 Nelson Spring Apt. 142
Johnsonville, TX 13596"	(Decimal('-20.990172'), Decimal('0.638129'))
3590433799317661495	wrojas	lauren94@yahoo.com	1895	087-52-8232	2023-02-05	Kimberly Miller			Richards, Thompson and Lynch	"0357 Dorsey Tunnel
West Chadmouth, VI 80103"	
3590433799317662204	riverajohn	bnguyen@gmail.com	203	259-41-5770	01/24/2022, 00:00:00	Maurice Lopez		1941-06-12	Holmes, Martin and Buchanan	"4598 Alicia Drive Apt. 460
Samanthahaven, UT 84443"	(Decimal('-85.2275295'), Decimal('-82.762937'))
359043379931766221	emily28	robbinsbrandy@yahoo.com	1968	843-89-7593	2021-12-08	Teresa Ellis		1930-08-27	Johnson, Ramirez and Wells	"818 Rachael Field
Port Bryanborough, PA 29506"	(Decimal('54.5621765'), Decimal('-177.846581'))
863033069630348610	edgar30	hannah57@gmail.com	972	183-11-4962	2024/02/08	Amber Rodriguez	Occupational hygienist	1942-03-08	Wyatt PLC	"13260 Robert Island
Blackmouth, MS 08553"	(Decimal('-40.0759425'), Decimal('5.897786'))
863033069630348313	estesashlee	millerkristy@gmail.com	1166	080-88-2301	2020-06-24	Nicole Hudson DDS	Information officer	1913-07-18	Arnold-Castaneda	"7405 Karen Court
Nelsonchester, OK 90969"	(Decimal('0.583965'), Decimal('-95.735262'))
863033069630348305	halejamie	cynthia18@gmail.com	379	653-79-4655	05 Jul 2022	Veronica Wright			Webb, Sanchez and Thornton		(Decimal('-9.473610'), Decimal('21.220301'))
359043379931766403	donna61	ddavis@gmail.com	1056	567-60-8650	05/04/2018, 00:00:00	Michael Rowland	Dance movement psychotherapist		Haley PLC	"61189 Kristen Land
Port Wendyton, ME 19387"	(Decimal('69.4567855'), Decimal('-108.873897'))
863033069630348875	brewercarla	egonzalez@hotmail.com	2329	701-91-6566	09/18/2021, 00:00:00	Emily Hughes		2003-07-02	Hawkins-Butler	"24985 Wood Passage Suite 808
Tammiehaven, UT 54365"	(Decimal('70.526287'), Decimal('-83.679213'))
863033069630348578	natalie47	lukefox@gmail.com	1231	501-67-0720	11/20/2023, 00:00:00	Sara Bowers			Herman, Hughes and Robinson	"749 James Gateway
Sandovalborough, AL 20950"	(Decimal('61.3651135'), Decimal('28.575666'))
863033069630348974	taylor30	carla28@yahoo.com	1178	864-40-0551	13 May 2024	John Mercer	Hotel manager		Jones Ltd	"USS Harrington
FPO AP 75894"	(Decimal('-8.3722475'), Decimal('-43.531195'))
359043379931766106	ialvarez	david28@yahoo.com	1166	198-34-4714	12/08/2017, 00:00:00	Henry Pitts		1926-12-25	Newman and Sons	"74232 Blankenship Port
South William, UT 24238"	(Decimal('-6.3481295'), Decimal('-2.685762'))
3590433799317662204	daniel90	jriddle@hotmail.com	1870	824-73-1945	09/27/2018, 00:00:00	Lisa Herrera			Nichols-Evans	"214 Gonzales Stravenue Apt. 699
West Jamesland, AR 11757"	(Decimal('-19.556033'), Decimal('-158.497744'))
3590433799317662006	vmorales	marie02@gmail.com	2395	750-17-3244	2018/03/16	Jonathan Williams	Sport and exercise psychologist		Hopkins, Clayton and Fuller		(Decimal('10.636439'), Decimal('41.156286'))
359043379931766353	lsolis	woodderrick@hotmail.com	1052	683-92-3583	2018-11-10	Brittany Perkins			Lee, Sparks and Colon	"68913 Mcdaniel Mount
Patrickmouth, ME 74528"	(Decimal('-60.706037'), Decimal('15.990953'))
8630330696303481818	jimeneztimothy	jacob82@hotmail.com	257	309-83-4640	2017/10/07	Diane Watson	Psychologist, counselling	2015-02-20	Howell and Sons	"546 Stephanie Extension Suite 228
Brownhaven, MD 82747"	(Decimal('60.1446765'), Decimal('-173.607820'))
8630330696303482345	pricejose	hessrebekah@gmail.com	1557	308-03-8301	2019-04-13	Sarah Nicholson			Townsend-Manning	"304 Stevens Street
North Nathanview, NH 68800"	(Decimal('-17.352207'), Decimal('92.910457'))
3590433799317662428	fred92	thomasdickerson@yahoo.com	1734	378-39-9843	12 Sep 2023	Stephen Smith			Huang-Norris		(Decimal('-80.392867'), Decimal('-97.273437'))
359043379931766130	dianejackson	stevenwatkins@yahoo.com	222	015-77-5071	12/27/2022, 00:00:00	Melissa Holder	Freight forwarder		Allen-Shaffer	"9539 Gonzales Street Suite 375
West Petertown, NY 03295"	(Decimal('-62.678944'), Decimal('128.012100'))
3590433799317661842	scottbrandon	rgarza@yahoo.com	479	135-81-1413	2021/06/17	Christopher Gutierrez		1940-07-09	Turner, Ho and Alvarez	"543 Michael Ferry Apt. 790
East Christopher, VA 94617"	(Decimal('33.8951115'), Decimal('-152.512254'))
3590433799317661537	alyssa85	kimberly54@hotmail.com	1442	495-77-4619	2023/11/08	Lauren Fisher		1999-06-28	Ford and Sons	"15238 Johnson Shores
Luisshire, KY 71052"	(Decimal('-59.331589'), Decimal('112.234302'))
359043379931766122	kathrynsnow	stevengallagher@hotmail.com	482	579-39-8280	2020-07-18	Tony Morgan	Sales promotion account executive		Jones and Sons	"8223 Brian Ways
Monicaview, NH 06424"	(Decimal('72.981961'), Decimal('-97.749613'))
3590433799317661768	alexandra23	jenningsjonathan@hotmail.com	1289	267-36-6786	12/14/2022, 00:00:00	Deanna Jones	Librarian, academic	1924-10-22	Villarreal-Hughes	"39520 Jennifer Hollow
North Dianashire, SD 32793"	(Decimal('69.5955805'), Decimal('176.971642'))
3590433799317661339	dustintorres	samuelrobinson@yahoo.com	1666	254-96-6968	10/06/2022, 00:00:00	Anthony Gonzalez	Air traffic controller		Rowland, Tyler and Russell	"5913 John Trail
New Debbie, MT 14387"	(Decimal('86.720654'), Decimal('50.908643'))
8630330696303482360	hernandezmichael	moodypatrick@hotmail.com	1354	588-49-5314	2023/07/07	Jeremy Lane			Collins, Ray and Kane		(Decimal('58.845791'), Decimal('-102.682440'))
863033069630348735	daniel19	saraholt@gmail.com	849	134-40-5990	02/12/2022, 00:00:00	Brent Hernandez		1932-12-29	Burns-Nguyen		(Decimal('-1.176553'), Decimal('40.566741'))
8630330696303481198	mphillips	sarahjenkins@hotmail.com	133	495-64-5666	05 Nov 2023	Riley Parrish	Civil engineer, contracting	1954-04-25	Morton-Soto	"6080 Debbie Lodge
North Theresa, NV 22659"	(Decimal('23.3010485'), Decimal('-15.778734'))
3590433799317661552	jeremyphillips	tiffanyfranco@hotmail.com	2041	171-58-6821	2023-06-24	Brooke Morgan DDS		1957-11-30	Hoover-Smith		(Decimal('50.9418925'), Decimal('-150.840946'))
359043379931766478	qshelton	stephen10@yahoo.com	2445	736-62-5057	2018-12-17	Jennifer Little	Print production planner		Lee-Obrien	"Unit 8944 Box 9995
DPO AP 86545"	(Decimal('20.3526675'), Decimal('-17.224022'))
8630330696303482055	logan31	danielortiz@gmail.com	2060	847-38-4801	2018-12-16	David Blevins	Trade mark attorney		Anderson Ltd	"602 Murphy Unions Apt. 399
New Joseton, KY 92237"	(Decimal('84.1756055'), Decimal('36.272967'))
3590433799317661974	wallacecarla	nchase@hotmail.com	1724	423-13-6861	19 Jul 2018	John Gray		1954-01-30	Moody, Johnson and Robinson	"272 Hughes Brook Suite 061
Davidchester, AS 27907"	(Decimal('-70.167350'), Decimal('-122.297462'))
359043379931766510	teresa89	kristen75@gmail.com	1704	240-31-4295	05/28/2024, 00:00:00	Adrienne Morgan		1926-10-26	Merritt PLC	"06846 Christopher Ridges Apt. 373
Williamsville, OR 82717"	(Decimal('67.706334'), Decimal('-13.981177'))
359043379931766155	ibenjamin	ikidd@gmail.com	1495	186-10-5583	05/16/2023, 00:00:00	William Martinez			Newton, Villarreal and Schmidt	"7174 Howell Hills Suite 553
Washingtonville, RI 94115"	(Decimal('18.8701595'), Decimal('-165.177177'))
8630330696303481776	antonio04	cassiemiller@hotmail.com	2080	273-96-9345	11/29/2020, 00:00:00	Rachel Brewer		1944-04-28	Wilson Inc	"100 Moore Ranch
Gomezton, MP 92448"	(Decimal('-22.969431'), Decimal('-84.179372'))
3590433799317662428	lambwilliam	taylorrandolph@gmail.com	681	717-74-5692	04/18/2023, 00:00:00	Mary Camacho	Architectural technologist	1936-12-10	Porter-Cooper	"98233 Ryan Club Suite 521
Burgessside, IN 36355"	
3590433799317661180	darryl05	ygonzales@gmail.com	1497	265-08-2329	2022-05-15	Travis Jackson	Ergonomist	1982-06-02	Wade, Saunders and Howell	"1361 Aaron Crossroad Apt. 536
Lake Bryanton, WA 05044"	(Decimal('-61.097120'), Decimal('8.955935'))
8630330696303481990	cwillis	wardstephen@hotmail.com	1715	087-80-0572	2018-06-08	Brenda Nguyen		1980-03-03	Price-Underwood	"12607 Hunter Lakes Suite 108
Codystad, FL 08905"	(Decimal('49.147808'), Decimal('106.131355'))
8630330696303481321	alejandrostevens	delacruzanthony@gmail.com	2168	852-67-9310	26 Jun 2024	Kenneth Morales		2023-02-16	Perez-White	"31274 Gary Landing
South Cheyennemouth, MP 93918"	(Decimal('-5.9294555'), Decimal('-118.132694'))
3590433799317662378	douglas54	maldonadoadam@hotmail.com	138	700-34-4744	12/05/2017, 00:00:00	Joseph Franco	Editor, magazine features	1944-07-05	Dunn and Sons	"09265 Nancy Avenue Suite 349
West Ashleyside, GA 89182"	(Decimal('-71.921210'), Decimal('-120.156577'))
